Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
"8/28/2020","OASIS CAFE","OASIS CAFE","22.68","debit","Restaurants","Blue Cash Preferred","",""
"8/28/2020","Wal-Mart","WALMART SUPERCENTER","172.42","debit","Groceries","Blue Cash Preferred","",""
"8/28/2020","Thrift Books Global, LLC","THRIFT BOOKS GLOBAL, LLC TUKWILA US","109.88","debit","Business Services","Costco Anywhere Visa® Card by Citi","Retail Business",""
"8/27/2020","U-Haul","U-HAUL MOVING STORAGE OF EVA","28.84","debit","Trailer","Blue Cash Preferred","","Rented a uhual 5x8 trailer to move auction goods"
"8/27/2020","U-Haul","U-HAUL MOVING STORAGE OF EVA","1.00","debit","Trailer","Blue Cash Preferred","Retail Business",""
"2/29/2020","ADYEN/RETAIL","ADYEN/RETAIL","14.90","debit","Efficient Software","Blue Cash Preferred","Business Reimbursable Software Business",""
"8/28/2020","JUSTICE FOR ALL INC","JUSTICE FOR ALL INC","25.00","debit","Charity","Quicksilver","",""
"8/28/2020","Employer Contribution","Employer Contribution","31.25","credit","HSA","X6175","",""
"8/28/2020","Payroll Deduction","Payroll Deduction","291.67","credit","HSA","X6175","",""
"8/28/2020","Enterprise Bank Trust","ENTERPRISE BANK & TRUST","8000.00","credit","Transfer","••••6452","",""
"8/28/2020","CAPITAL ONE","CAPITAL ONE","1306.22","debit","Credit Card Payment","••••6452","",""
"8/27/2020","Wal-Mart","MURPHY7569ATWALMART HENDERSON           KY","58.42","debit","Gas & Fuel","Blue Cash Preferred","",""
"8/27/2020","Zazzle","CKCD DEBIT 8212 08/27 09:08   ZA","9.95","debit","Office Supplies","Regular Checking","Retail Business","Membership for printing business cards ""Category"":""Advertising"""
"8/27/2020","CAPITAL ONE AUTOPAY payment AuthDate 07-Aug","CAPITAL ONE AUTOPAY PYMT AuthDate 07-Aug","1306.22","credit","Credit Card Payment","Quicksilver","",""
"8/27/2020","Wal-Mart","Point Of Sale Withdrawal WAL-MART #0694","35.45","debit","Tradewinds","Free Business","",""
"8/26/2020","McDonald's","MCDONALD'S F10530 00HENDERSON           KY","4.11","debit","Fast Food","Blue Cash Preferred","",""
"8/26/2020","Amazon","AMZN Mktp US*MM52T8D62","8.45","debit","Shopping","Quicksilver","",""
"8/25/2020","Dunkin Donuts","DUNKIN # 358891     EVANSVILLE          IN","14.20","debit","Coffee Shops","Blue Cash Preferred","",""
"8/25/2020","1228 FULTON PETROLEUEVANSVILLE IN","1228 FULTON PETROLEUEVANSVILLE          IN","29.78","debit","Gas & Fuel","Blue Cash Preferred","",""
"8/25/2020","U-Haul","Point Of Sale Withdrawal U-HAUL EVANSVI","23.27","debit","Tradewinds","Free Business","",""
"8/25/2020","Sam's Club","Point Of Sale Withdrawal SAMS CLUB #812","223.74","debit","Groceries","Free Business","",""
"8/25/2020","Mobile Check Deposit","Mobile Check Deposit","30.00","credit","Dentist","••••6452","","Dentist reimbursment portion"
"8/24/2020","FREECODECAMP.ORG PLANO TX","FREECODECAMP.ORG    PLANO               TX","5.00","debit","Charity","Blue Cash Preferred","",""
"8/24/2020","Taco Bell","TACO BELL           HENDERSON           KY","16.89","debit","Fast Food","Blue Cash Preferred","",""
"8/24/2020","Target","TARGET              EVANSVILLE          IN","1.67","debit","Groceries","Blue Cash Preferred","",""
"8/24/2020","Taco Bell","TACO BELL           HENDERSON           KY","14.37","debit","Fast Food","Blue Cash Preferred","",""
"8/24/2020","Lowe's","LOWES #02558*","31.27","debit","Home Improvement","Quicksilver","",""
"8/24/2020","Wal-Mart","WAL-MART #0694","46.61","debit","Shopping","Quicksilver","",""
"8/24/2020","SPECTRUM","SPECTRUM","54.99","debit","Internet","Quicksilver","",""
"8/23/2020","Sonic","SONIC DRIVE IN      HENDERSON           KY","2.63","debit","Fast Food","Blue Cash Preferred","",""
"8/23/2020","Chipotle","CHIPOTLE 2077 0000  EVANSVILLE          IN","21.55","debit","Fast Food","Blue Cash Preferred","",""
"8/23/2020","Chipotle","CHIPOTLE 2077 0000  EVANSVILLE          IN","12.74","debit","Fast Food","Blue Cash Preferred","",""
"8/22/2020","Mover help at Auction for Tradewinds","Mover help at Auction for Tradewinds","83.00","debit","Tradewinds","Cash","Business","Paid movers at Auction in Lebanon for additional furniture moving help ""Category"": ""Contract Labor"""
"8/22/2020","Casey's","CASEYS GEN STORE3073EVANSVILLE          IN","33.74","debit","Gas & Fuel","Blue Cash Preferred","",""
"8/22/2020","U-Haul","U-HAUL 773069       EVANSVILLE          IN","97.75","debit","Tradewinds","Blue Cash Preferred","","""Category"":""Supplies"" Packaging materials for loading and unloading inventory"
"8/22/2020","White River, LLC","WHITE RIVER LLC     BLOOMFIELD          IN","1.49","debit","Coffee Shops","Blue Cash Preferred","M&I during business","Gas station coffee shop stop on way to auction pickup"
"8/22/2020","Wendy's","WENDY'S 07901 000007INDIANAPOLIS        IN","14.33","debit","Fast Food","Blue Cash Preferred","M&I during business",""
"8/22/2020","Shell","SHELL OIL 5742680280MARTINSVILLE        IN","3.18","debit","Food & Dining","Blue Cash Preferred","M&I during business",""
"8/22/2020","Taco Bell","TACO BELL           HENDERSON           KY","21.54","debit","Fast Food","Blue Cash Preferred","",""
"8/22/2020","Wendy's","WENDY'S #0122 000000MARTINSVILLE        IN","15.10","debit","Fast Food","Blue Cash Preferred","",""
"8/21/2020","E-Z SERVICE STATION SEBREE KY","E-Z SERVICE STATION SEBREE              KY","74.69","debit","Gas & Fuel","Blue Cash Preferred","",""
"8/21/2020","Taco Bell","TACO BELL           HENDERSON           KY","19.05","debit","Fast Food","Blue Cash Preferred","",""
"8/21/2020","MR BS PIZZA & WINGS - HEN270-826-1111 KY","MR BS PIZZA & WINGS - HEN270-826-1111 KY","31.49","debit","Restaurants","Costco Anywhere Visa® Card by Citi","",""
"8/21/2020","Taco Bell","TACO BELL 3001038","13.74","debit","Fast Food","Quicksilver","",""
"8/21/2020","Hulu","HLU*Hulu 289882203057-U","6.35","debit","Movies & DVDs","Quicksilver","",""
"8/20/2020","Sohn & Associates, Ltd","SOHN AND ASSOCIATES LT 812-4670227 IN","1680.80","debit","Auction","Costco Anywhere Visa® Card by Citi","Retail Business",""
"8/20/2020","CREDIT-CASH BACK REWARD","CREDIT-CASH BACK REWARD","25.00","credit","Credit Card Payment","Quicksilver","",""
"8/20/2020","Swat Pest - Acqu","Swat Pest - Acqu","45.00","debit","Home Services","••••6452","",""
"8/19/2020","HALF PRICE BOOKS RECGREENWOOD IN","HALF PRICE BOOKS RECGREENWOOD           IN","99.36","debit","Movies & DVDs","Blue Cash Preferred","",""
"8/19/2020","Dunkin Donuts","DUNKIN #347595 Q35 3GREENWOOD           IN","10.53","debit","Coffee Shops","Blue Cash Preferred","M&I during business Retail Business",""
"8/19/2020","CAPITAL COMMONS GPRKINDIANAPOLIS IN","CAPITAL COMMONS GPRKINDIANAPOLIS        IN","40.00","debit","Parking","Blue Cash Preferred","Retail Business",""
"8/19/2020","CHUCK HUNT AUCT","SQ *CHUCK HUNT AUCT","647.82","debit","Auction","Quicksilver","Retail Business",""
"8/19/2020","Wal-Mart","WAL-MART #1275","68.73","debit","Tradewinds","Quicksilver","","""Category"":""Supplies"" Clear plastic containers for loading/unloading dishes"
"8/19/2020","LINCOLN LANE COFFEE Indianapolis IN","LINCOLN LANE COFFEE Indianapolis        IN","12.10","debit","Coffee Shops","Blue Cash Preferred","M&I during business",""
"8/19/2020","External Deposit MSorenson - TRANSFER","External Deposit MSorenson - TRANSFER","1500.00","credit","Transfer","Free Business","",""
"8/18/2020","Circle K","CIRCLE K 00157/CIRCLCAMBY               IN","3.18","debit","Food & Dining","Blue Cash Preferred","M&I during business",""
"8/18/2020","ST ELMO STEAKHOUSE SINDIANAPOLIS IN","ST ELMO STEAKHOUSE SINDIANAPOLIS        IN","160.35","debit","Restaurants","Blue Cash Preferred","M&I during business",""
"8/18/2020","Hucks Food & Fuel","HUCK'S FOOD & FUEL SOWENSBORO           KY","48.86","debit","Gas & Fuel","Blue Cash Preferred","",""
"8/18/2020","Wendy's","WENDYS DALE 00000040DALE                IN","16.67","debit","Fast Food","Blue Cash Preferred","M&I during business",""
"8/18/2020","Dunkin Donuts","DUNKIN #345343 Q35 3INDIANAPOLIS        IN","4.55","debit","Coffee Shops","Blue Cash Preferred","M&I during business",""
"8/18/2020","Westin","WESTIN INDIANAPOLIS INDIANAPOLIS        IN","156.78","debit","Hotel","Blue Cash Preferred","Business",""
"8/18/2020","Check 108","Check","402.00","debit","St. Ananias","Regular Checking","",""
"8/18/2020","SPACE COAST CREDIT UNION","SPACE COAST CREDIT UNION","1500.00","debit","Transfer","••••6452","",""
"8/18/2020","Mobile Check Deposit","Mobile Check Deposit","72.58","credit","Home Insurance","••••6452","","rental insurance reimbursement"
"8/18/2020","CITI AUTOPAY","CITI AUTOPAY","615.02","debit","Credit Card Payment","••••6452","",""
"8/18/2020","Swat Pest - Acqu","Swat Pest - Acqu","34.50","debit","Home Services","••••6452","",""
"8/17/2020","Chipotle","CHIPOTLE 2077","22.90","debit","Fast Food","Quicksilver","",""
"8/17/2020","Marathon","MARATHON PETRO176321","4.99","debit","Gas & Fuel","Quicksilver","",""
"8/17/2020","Target","TARGET        00014811","213.98","credit","Shopping","Quicksilver","",""
"8/17/2020","American Express","AMEX EPAYMENT","1295.84","debit","Credit Card Payment","••••6452","",""
"8/16/2020","DONUT BANK HENDERSONHENDERSON KY","DONUT BANK HENDERSONHENDERSON           KY","3.38","debit","Fast Food","Blue Cash Preferred","",""
"8/16/2020","Target","TARGET              EVANSVILLE          IN","171.83","debit","Shopping","Blue Cash Preferred","",""
"8/15/2020","Autopay Rautopay Auto","AUTOPAY 000000000048334RAUTOPAY AUTO-PMT","615.02","credit","Credit Card Payment","Costco Anywhere Visa® Card by Citi","",""
"8/15/2020","Target","TARGET 00014811","631.02","debit","Shopping","Quicksilver","",""
"8/14/2020","Dunkin Donuts","DUNKIN # 358891     EVANSVILLE          IN","16.45","debit","Coffee Shops","Blue Cash Preferred","",""
"8/14/2020","OLD HICKORY BBQ 9247OWENSBORO KY","OLD HICKORY BBQ 9247OWENSBORO           KY","38.08","debit","Restaurants","Blue Cash Preferred","",""
"8/14/2020","- THANK YOU","ONLINE PAYMENT - THANK YOU","1295.84","credit","Credit Card Payment","Blue Cash Preferred","",""
"8/14/2020","State Farm","STATE FARM  INSURANCE","93.60","debit","Auto Insurance","Quicksilver","",""
"8/14/2020","Employer Contribution","Employer Contribution","31.25","credit","HSA","X6175","",""
"8/14/2020","Payroll Deduction","Payroll Deduction","291.67","credit","HSA","X6175","",""
"8/14/2020","American Express","AMEX EPAYMENT","45.00","debit","Credit Card Payment","••••6452","",""
"8/14/2020","Sequoia One Peo","Sequoia One PEO,","3674.15","credit","Income","••••6452","",""
"8/13/2020","Wendy's","WENDYS HENDERSON-GREHENDERSON           KY","12.49","debit","Fast Food","Blue Cash Preferred","",""
"8/13/2020","Wal-Mart","MURPHY7569ATWALMART HENDERSON           KY","61.26","debit","Shopping","Blue Cash Preferred","",""
"8/13/2020","T-Mobile","TMOBILE*AUTO PAY    800-937-8997        WA","130.85","debit","Mobile Phone","Blue Cash Preferred","",""
"8/13/2020","AUTOPAY PAYMENT - THANK YOU","AUTOPAY PAYMENT - THANK YOU","45.00","credit","Credit Card Payment","Blue Cash Preferred","",""
"8/13/2020","QuickBooks","Point Of Sale Withdrawal INT*QuickBooks","1.00","debit","Efficient Software","Free Business","",""
"8/12/2020","Lowe's","LOWES #00907*","191.04","debit","Home Improvement","Quicksilver","",""
"8/12/2020","Lowe's","LOWES #02558*","59.78","debit","Home Improvement","Quicksilver","",""
"8/12/2020","Check 178","Check","50.00","debit","St. Ananias","Regular Checking","","Lebanon support"
"8/12/2020","Edo Spaces Llc","AC-EDO SPACES LLC  -ACH PaymenAu","928.29","credit","Copper Rental","Regular Checking","",""
"8/12/2020","Wilson","WILSON AUCTIONS 8126824000 IN","324.84","debit","Tradewinds","Costco Anywhere Visa® Card by Citi","",""
"8/12/2020","Estate Solvers LLC","SPL*Estate Solvers LLC Evansville IN","119.13","debit","Tradewinds","Costco Anywhere Visa® Card by Citi","",""
"8/11/2020","Wendy's","WENDYS HENDERSON-GREEN ST","14.82","debit","Fast Food","Quicksilver","",""
"8/11/2020","Taco Johns","TACOJOHNS9833","14.44","debit","Restaurants","Quicksilver","",""
"8/11/2020","Wal-Mart","WM SUPERCENTER #694","28.49","debit","Groceries","Quicksilver","",""
"8/11/2020","Wendy's","WENDYS HENDERSON-GREHENDERSON           KY","16.61","debit","Fast Food","Blue Cash Preferred","",""
"8/11/2020","DONUT BANK HENDERSONHENDERSON KY","DONUT BANK HENDERSONHENDERSON           KY","4.02","debit","Fast Food","Blue Cash Preferred","",""
"8/10/2020","Wal-Mart","WAL-MART #0694","22.10","debit","Shopping","Quicksilver","",""
"8/10/2020","CANCUNMEXICANRESTAURANT","CANCUNMEXICANRESTAURANT","51.27","debit","Restaurants","Quicksilver","",""
"8/10/2020","Chipotle","CHIPOTLE 2077","40.45","debit","Fast Food","Quicksilver","",""
"8/10/2020","English","AMZ*English","55.00","debit","Alcohol & Bars","Quicksilver","",""
"8/10/2020","Wendy's","WENDYS HENDERSON-GREHENDERSON           KY","18.83","debit","Fast Food","Blue Cash Preferred","",""
"8/10/2020","U-Haul","U-HAUL 781071       PHOENIX             AZ","17.75","debit","Home Services","Blue Cash Preferred","",""
"8/10/2020","Wal-Mart","WAL-MART #0694 HENDERSON KY","113.78","debit","Groceries","Costco Anywhere Visa® Card by Citi","",""
"8/10/2020","HEROKU JUL-396","Point Of Sale Withdrawal HEROKU JUL-396","11.28","debit","Efficient Software","Free Business","",""
"8/09/2020","GoDaddy.com","Point Of Sale Withdrawal DNH*GODADDY.CO","15.00","debit","Efficient Software","Free Business","",""
"8/08/2020","Wal-Mart","WAL-MART #0694","71.18","debit","Groceries","Quicksilver","",""
"8/08/2020","BROOKS SPORTS WEB SALES","BROOKS SPORTS WEB SALES","116.55","debit","Clothing","Quicksilver","",""
"8/06/2020","Taco Bell","TACO BELL           HENDERSON           KY","19.65","debit","Fast Food","Blue Cash Preferred","",""
"8/05/2020","SUNTRUST","SUNTRUST","278.40","debit","Rental Escrow","••••6452","",""
"8/05/2020","SUNTRUST","SUNTRUST","371.60","debit","Rental Interest","••••6452","",""
"8/05/2020","SUNTRUST","SUNTRUST","267.92","debit","Rental Principal","••••6452","",""
"8/05/2020","DONUT BANK HENDERSONHENDERSON KY","DONUT BANK HENDERSONHENDERSON           KY","4.22","debit","Fast Food","Blue Cash Preferred","",""
"8/05/2020","Chick-Fil-A","CHICK-FIL-A #01653 0EVANSVILLE          IN","15.01","debit","Fast Food","Blue Cash Preferred","",""
"8/04/2020","Sohn & Associates, Ltd","SOHN AND ASSOCIATES LT 812-4670227 IN","37.40","debit","Tradewinds","Costco Anywhere Visa® Card by Citi","",""
"8/04/2020","Check 107","Check","379.00","debit","St. Ananias","Regular Checking","",""
"8/04/2020","COVENANT EYES","COVENANT EYES","14.49","debit","Business Services","Quicksilver","",""
"8/04/2020","CREDIT-CASH BACK REWARD","CREDIT-CASH BACK REWARD","25.00","credit","Credit Card Payment","Quicksilver","",""
"8/04/2020","SCCU","SCCU","829.63","debit","Auto Payment","••••6452","",""
"8/04/2020","COPPER LOFTS","COPPER LOFTS","297.60","debit","Rental Property Expe","••••6452","",""
"8/03/2020","DOVENMUEHLE MTG -MORTG PYMT1467725980","AC-DOVENMUEHLE MTG -MORTG PYMT14","1496.97","debit","Mortgage & Rent","Regular Checking","",""
"8/03/2020","Lowe's","LOWES #02558*","128.61","debit","Home Improvement","Quicksilver","",""
"8/03/2020","Wal-Mart","WAL-MART #0694","189.49","debit","Groceries","Quicksilver","",""
"8/03/2020","JetBrains","Point Of Sale Withdrawal JetBrains Amer","14.90","debit","Electronics & Software","Free Business","",""
"8/02/2020","Dunkin Donuts","DUNKIN # 358891     EVANSVILLE          IN","14.20","debit","Coffee Shops","Blue Cash Preferred","",""
"8/01/2020","Froggys","FROGGYS 000000001   WADESVILLE          IN","73.26","debit","Restaurants","Blue Cash Preferred","",""
"8/01/2020","PERFECT FOCUS E","SQ *PERFECT FOCUS E","40.00","debit","Hair","Quicksilver","",""
"8/01/2020","Wal-Mart","WM SUPERCENTER #694","70.34","debit","Groceries","Quicksilver","",""
"8/01/2020","Wal-Mart","WAL-MART #0694","83.93","debit","Groceries","Quicksilver","",""
"8/01/2020","Vault","To Wifey Vault","200.00","debit","Wife's account","••••6452","",""
"7/31/2020","Wal-Mart","MURPHY7569ATWALMART HENDERSON           KY","58.45","debit","Shopping","Blue Cash Preferred","",""
"7/31/2020","Oasis Cafe","OASIS CAFE & MEDITEREVANSVILLE          IN","29.95","debit","Restaurants","Blue Cash Preferred","",""
"7/31/2020","Amazon","AMAZON.COM*MV14Z5I92 AMZN","14.79","debit","Shopping","Quicksilver","",""
"7/31/2020","BOBALU CIGAR CO","BOBALU CIGAR CO","68.95","debit","Restaurants","Quicksilver","",""
"7/31/2020","Interest","Interest","0.08","credit","Interest Income","X6175","",""
"7/31/2020","Interest earned","Interest earned","1.71","credit","Interest Income","••••6452","",""
"7/31/2020","Payroll Deduction","Payroll Deduction","291.67","credit","HSA","X6175","",""
"7/31/2020","Employer Contribution","Employer Contribution","31.25","credit","HSA","X6175","",""
"7/31/2020","Sequoia One Peo","Sequoia One PEO,","3674.08","credit","Income","••••6452","",""
"7/30/2020","JUSTICE FOR ALL INC","JUSTICE FOR ALL INC","25.00","debit","Charity","Quicksilver","",""
"7/30/2020","Dunkin Donuts","DUNKIN # 358891 EVANSVILLE IN","13.22","debit","Coffee Shops","Costco Anywhere Visa® Card by Citi","",""
"7/30/2020","Swat Pest - Acqu","Swat Pest - Acqu","45.00","debit","Home Services","••••6452","",""
"7/29/2020","Sohn & Associates, Ltd","SOHN AND ASSOCIATES LT 812-4670227 IN","37.40","debit","Business Services","Costco Anywhere Visa® Card by Citi","",""
"7/29/2020","Interest Charge on Purchases","Interest Charge on Purchases","17.43","debit","Finance Charge","Blue Cash Preferred","",""
"7/29/2020","Interest Charge on Promotional Balances","Interest Charge on Promotional Balances","22.33","debit","Finance Charge","Blue Cash Preferred","",""
"7/29/2020","8212 07/28 01:30 JM CKCD DEBIT 8212 07/28 01:30 JM MINISTRIES U 636-349030","CKCD DEBIT 8212 07/28 01:30   JM","1.00","debit","Charity","Regular Checking","",""
"7/29/2020","Amazon","AMAZON.COM*MV1UL9990 AMZN","11.65","debit","Shopping","Quicksilver","",""
"7/29/2020","Check Paid","Check Paid","245.53","debit","Bills & Utilities","••••6452","","Henderson electric, water"
"7/28/2020","Sohn & Associates, Ltd","SOHN AND ASSOCIATES LT 812-4670227 IN","187.00","debit","Business Services","Costco Anywhere Visa® Card by Citi","",""
"7/28/2020","Check Paid","Check Paid","367.00","debit","St. Ananias","••••6452","",""
"7/28/2020","CAPITAL ONE","CAPITAL ONE","366.32","debit","Credit Card Payment","••••6452","",""
"7/27/2020","Copper Rental Home Insurance Paid","Copper Rental Home Insurance Paid","893.51","debit","Rental Insurance","Cash","Rental",""
"7/27/2020","Lowe's","LOWES #02558*","76.13","credit","Home Improvement","Quicksilver","",""
"7/27/2020","Lowe's","LOWES #02558*","379.66","debit","Home Improvement","Quicksilver","",""
"7/27/2020","CANCUNMEXICANRESTAURANT","CANCUNMEXICANRESTAURANT","64.13","debit","Restaurants","Quicksilver","",""
"7/27/2020","Lowe's","LOWES #02558*","133.54","debit","Home Improvement","Quicksilver","",""
"7/27/2020","Kohl's","KOHL'S #0281","62.04","debit","Clothing","Quicksilver","",""
"7/27/2020","CAPITAL ONE AUTOPAY payment AuthDate 27-Jul","CAPITAL ONE AUTOPAY PYMT AuthDate 27-J ul","366.32","credit","Credit Card Payment","Quicksilver","",""
"7/27/2020","Wal-Mart","WAL-MART #1263","50.42","debit","Shopping","Quicksilver","",""
"7/27/2020","Lowe's","LOWES #02558*","194.59","debit","Home Improvement","Quicksilver","",""
"7/27/2020","Applebees","APPLEBEES 083065083578","47.74","debit","Restaurants","Quicksilver","",""
"7/27/2020","Wal-Mart","WM SUPERCENTER #694","103.47","debit","Groceries","Quicksilver","",""
"7/27/2020","PetSmart","PETSMART # 0502","32.10","debit","Pet Food & Supplies","Quicksilver","",""
"7/25/2020","Apple","APPLE.COM/BILL","10.78","debit","Electronics & Software","Quicksilver","",""
"7/25/2020","BODYWORKS EVANSVILLE IN","BODYWORKS EVANSVILLE IN","65.00","debit","Doctor","Costco Anywhere Visa® Card by Citi","",""
"7/25/2020","Vault","To Arik Vault","250.00","debit","Wife's account","••••6452","",""
"7/24/2020","Ohio Valley Auction and Realty","Ohio Valley Auction and Realty","66.55","debit","Cost Of Goods Sold","Cash","Retail Business","Inventory - glasses and book lot for retail business"
"7/24/2020","Apple","APPLE.COM/BILL      INTERNET CHARGE     CA","3.21","debit","Electronics & Software","Blue Cash Preferred","",""
"7/24/2020","FREECODECAMP.ORG PLANO TX","FREECODECAMP.ORG    PLANO               TX","5.00","debit","Auto & Transport","Blue Cash Preferred","",""
